address,agentRef,bedrooms,development,identifier,latitude,longitude,outcode,price,propertyType,status,telephoneNumber,tenureType,transactionTypeId,updateDate,publicsiteUrl
"Brough Close, London SW8",1949326,3,False,67051292,51.478118789995705,-0.12437295041585833,SW8,550000,flat,Sold STC,020 8012 2211,,1,2017/11/15 14:26:15,http://www.rightmove.co.uk/property-for-sale/property-67051292.html
"Richborne Terrace, London SW8",1946228,1,False,65586593,51.47964415096903,-0.11854978336521835,SW8,465000,flat,Sold STC,020 8012 2211,,1,2017/11/09 14:25:54,http://www.rightmove.co.uk/property-for-sale/property-65586593.html
"South Elms, Blore Close, SW8",ISL141632,2,False,45613498,51.473698578424816,-0.13477796396019898,SW8,500000,flat,,020 8012 0997,Leasehold,1,2016/09/08 09:48:00,http://www.rightmove.co.uk/property-for-sale/property-45613498.html
"Albion Avenue, London",CPM105461,2,False,48493209,51.47067740533454,-0.13706097806976292,SW8,450000,maisonette,Sold STC,020 8012 2037,Leasehold,1,2017/09/15 12:15:59,http://www.rightmove.co.uk/property-for-sale/property-48493209.html
"Tradescant Road, London SW8",328200,4,False,37342514,51.47872482444689,-0.12290797049172765,SW8,695000,terraced house,Sold STC,020 8012 2211,,1,2017/10/27 15:51:35,http://www.rightmove.co.uk/property-for-sale/property-37342514.html
"Teversham Lane, London",KGT107993,3,False,66292031,51.47523844840128,-0.12420310143199523,SW8,465000,maisonette,Sold STC,020 8012 2049,Leasehold,1,2017/10/26 11:21:57,http://www.rightmove.co.uk/property-for-sale/property-66292031.html
"Priory Grove, London, SW8",CLA160181,3,False,47536341,51.473427125515585,-0.1290292394271451,SW8,1250000,terraced house,Sold STC,020 8012 2887,Freehold,1,2017/11/01 05:45:53,http://www.rightmove.co.uk/property-for-sale/property-47536341.html
"Rita Road,
London,
SW8",RR51c,3,False,29082487,51.48121803811972,-0.121365403411472,SW8,350000,flat,Sold STC,020 8012 4107,Leasehold,1,2017/09/27 11:59:02,http://www.rightmove.co.uk/property-for-sale/property-29082487.html
"London, SW8",BAB120428,2,False,36486967,51.469399142248,-0.14719178945761796,SW8,455000,flat,Sold STC,020 8012 1703,,1,2017/11/22 16:17:09,http://www.rightmove.co.uk/property-for-sale/property-36486967.html
"Morgan House, Patmore Estate, London",BAB170066,1,False,48813915,51.47674194751575,-0.1395499948215889,SW8,320000,flat,Sold STC,020 8012 1703,Leasehold,1,2017/11/22 16:17:09,http://www.rightmove.co.uk/property-for-sale/property-48813915.html
